text,type,label,predicted_class,predicted_confidence
8.3 - Estimated total number of beneficiaries targeted with cash and/or vouchers,recipientsCVA,0,Non-quantitative,0.27978775
8.1.c - Estimated total number of beneficiaries targeted with cash and/or vouchers,recipientsCVA,0,Non-quantitative,0.10547361
2.1.c - Estimated total number of beneficiaries targeted with cash and/or vouchers,recipientsCVA,0,Non-quantitative,0.096619405
3.2 - Estimated % of requirements to be used for voucher assistance,quantV,1,Quantitative,0.9825303
2.2 - Estimated % of requirements to be used for voucher assistance,quantV,1,Quantitative,0.98124576
"2.2 - % du budget global du projet, prévu pour l’assistance en coupons",quantV,1,Quantitative,0.9580409
4.1.2. % estimé du budget prévu pour l’assistance en coupons,quantV,1,Quantitative,0.97735846
% estimé du budget prévu pour l’assistance en coupons / Estimated % of requirements to be used for voucher assistance,quantV,1,Quantitative,0.95629376
1.1.2. ¿Cuál es el porcentaje estimado del presupuesto solicitado utilizado para cupones?,quantV,1,Quantitative,0.9641545
1.1.2. ¿Cuál es el porcentaje estimado de los requerimientos utilizados para cupones?,quantV,1,Quantitative,0.96339846
6.2 - Estimated percentage of project requirements to be used for vouchers,quantV,1,Quantitative,0.98073477
8.2 - Estimated % of requirements to be used for voucher assistance,quantV,1,Quantitative,0.98226607
8.1.b - Estimated % of requirements to be used for voucher assistance,quantV,1,Quantitative,0.9797125
2.1.b - Estimated % of requirements to be used for voucher assistance,quantV,1,Quantitative,0.97663057
% estimé du budget prévu pour l’assistance en coupons,quantV,1,Quantitative,0.93961066
3.1.2. % estimé du budget prévu pour l’assistance en coupons,quantV,1,Quantitative,0.9778578
3.2 - Estimated percentage of project requirements to be used for vouchers,quantV,1,Quantitative,0.9810434
Estimated % of project requirements to be used for vouchers,quantV,1,Quantitative,0.9642001
6.1.b - Estimated percentage of project requirements to be used for vouchers,quantV,1,Quantitative,0.97972727
5.1.b State the percentage of the response delivered by the voucher modality if applicable :,quantV,1,Quantitative,0.9585838
3.2 - Estimated % of requirements to be used for voucher assistance* Include overhead costs associated with the vouchers. Write '0' if the project only uses cash transfers.,quantV,1,Quantitative,0.9771678
Estimated % of requirements to be used for voucher assistance,quantV,1,Quantitative,0.96549714
4.3 - Please estimate the percentage for vouchers?,quantV,1,Quantitative,0.9314346
9.2 - Estimated % of requirements to be used for voucher assistance,quantV,1,Quantitative,0.98204
¿Cuál es el porcentaje estimado del presupuesto solicitado utilizado para cupones?,quantV,1,Quantitative,0.6827422
2.1.2. ¿Cuál es el porcentaje estimado del presupuesto solicitado utilizado para cupones?,quantV,1,Quantitative,0.96289927
4.2 - Estimated % of requirements to be used for voucher assistance,quantV,1,Quantitative,0.9834094
5.2 - Estimated % of requirements to be used for voucher assistance,quantV,1,Quantitative,0.983282
12.2 - Estimated % of requirements to be used for voucher assistance,quantV,1,Quantitative,0.9810095
